cluster_id,folder_names
227,S05_25_25_53_667199
228,S05_25_25_616_713638
229,S05_25_25_716_683942
230,S05_25_25_722_683936
231,S05_25_25_74_633406
232,S05_25_25_757_683773
233,S05_25_25_774_683729
234,S05_25_25_781_683722
235,S05_25_25_857_683575
236,S05_25_25_867_683565
237,S05_25_25_885_683548
238,S05_25_25_913_683486
239,S05_25_25_957_683410
240,S05_25_25_990_683356
241,S05_25_26_1005_667272
242,S05_25_26_1031_667229
243,S05_25_26_1037_1132370
244,S05_25_26_162_682473
245,S05_25_26_283_682191
246,S05_25_26_327_682086
247,S05_25_26_34_682738
248,S05_25_26_3_682525
249,S05_25_26_406_681932
250,S05_25_26_476_664172
251,S05_25_26_483_664165
252,S05_25_26_490_664159
253,S05_25_26_514_664103
254,S05_25_26_568_663963
255,S05_25_26_601_663886
256,S05_25_26_611_663878
257,S05_25_26_637_681820
258,S05_25_26_692_668214
259,S05_25_26_738_668102
260,S05_25_26_739_668053
261,S05_25_26_818_667828
262,S05_25_27_100_666869
263,S05_25_27_251_666563
264,S05_25_27_272_666387
265,S05_25_27_327_665914
266,S05_25_27_389_683741
267,S05_25_27_518_683274
268,S05_25_27_530_683106
269,S05_25_27_556_682992
270,S05_25_27_587_682910
271,S05_25_27_809_682098
272,S05_25_27_847_633127
273,S05_25_28_406_667500
274,S05_25_28_416_667492
275,S05_25_28_579_666963
276,S05_25_28_697_666626
277,S05_25_28_753_666505
278,S05_25_28_916_666095
279,S05_25_29_149_665480
280,S05_25_29_242_666081
281,S05_25_29_310_665869
282,S05_25_29_361_665703
283,S05_25_29_395_665607
284,S05_25_29_474_632473
285,S05_25_29_595_687752
286,S05_25_29_755_687327
287,S05_25_2_1049_632905
288,S05_25_2_1092_664242
289,S05_25_2_1222_1133071
290,S05_25_2_143_748983
291,S05_25_2_259_749104
292,S05_25_2_266_749138
293,S05_25_2_551_633627
294,S05_25_2_607_747469
295,S05_25_2_610_747467
296,S05_25_2_683_747202
297,S05_25_2_689_747196
298,S05_25_2_726_666254
299,S05_25_30_116_686493
300,S05_25_30_13_686615
301,S05_25_30_27_686869
302,S05_25_30_390_685959
303,S05_25_30_459_633512
304,S05_25_30_492_632199
305,S05_25_30_69_686746
306,S05_25_30_703_632565
307,S05_25_30_705_684929
308,S05_25_30_71_686744
309,S05_25_30_746_665715
310,S05_25_30_75_686709
311,S05_25_30_771_665645
312,S05_25_30_782_665636
313,S05_25_30_787_665633
314,S05_25_30_815_665460
315,S05_25_30_866_479622
316,S05_25_31_163_665132
317,S05_25_31_199_664983
318,S05_25_31_200_664961
319,S05_25_31_205_664990
320,S05_25_31_306_664798
321,S05_25_31_310_664794
322,S05_25_31_423_633506
323,S05_25_31_453_687919
324,S05_25_31_651_687220
325,S05_25_31_667_687127
326,S05_25_31_668_687126
327,S05_25_31_678_687123
328,S05_25_31_700_687350
329,S05_25_31_730_687061
330,S05_25_31_783_687094
331,S05_25_31_96_665229
332,S05_25_32_165_686508
333,S05_25_32_273_632916
334,S05_25_32_329_686132
335,S05_25_32_34_686761
336,S05_25_32_355_686093
337,S05_25_32_416_685933
338,S05_25_32_51_686961
339,S05_25_32_623_1113372
340,S05_25_32_76_686896
341,S05_25_32_7_686853
342,S05_25_33_164_685207
343,S05_25_33_36_685555
344,S05_25_33_489_665311
345,S05_25_33_532_666031
346,S05_25_34_24_687817
347,S05_25_34_25_687816
348,S05_25_34_42_688104
349,S05_25_34_534_686834
350,S05_25_34_637_686517
351,S05_25_34_700_631833
352,S05_25_34_708_686273
353,S05_25_35_243_632343
354,S05_25_35_37_685702
355,S05_25_35_406_684647
356,S05_25_35_472_684416
357,S05_25_35_497_684343
358,S05_25_35_789_633288
359,S05_25_35_888_684231
360,S05_25_36_246_713217
361,S05_25_36_282_713175
362,S05_25_36_288_713139
363,S05_25_36_298_713111
364,S05_25_36_64_684004
365,S05_25_36_97_633007
366,S05_25_37_1007_713059
367,S05_25_37_100_688698
368,S05_25_37_1128_633469
369,S05_25_37_1247_712657
370,S05_25_37_147_688595
371,S05_25_37_229_688453
372,S05_25_37_239_688376
373,S05_25_37_25_688642
374,S05_25_37_273_688332
375,S05_25_37_317_688224
376,S05_25_37_385_717862
377,S05_25_37_420_632995
378,S05_25_37_49_688746
379,S05_25_37_581_684394
380,S05_25_37_597_633462
381,S05_25_37_61_688783
382,S05_25_37_655_713535
383,S05_25_37_745_684046
384,S05_25_37_807_713433
385,S05_25_37_840_633349
386,S05_25_37_885_713331
387,S05_25_37_913_713231
388,S05_25_37_923_713223
389,S05_25_37_96_688702
390,S05_25_38_204_688794
391,S05_25_38_231_688714
392,S05_25_38_307_688588
393,S05_25_38_397_743906
394,S05_25_38_497_743589
395,S05_25_38_5_712612
396,S05_25_38_603_688397
397,S05_25_38_618_688382
398,S05_25_38_641_665074
399,S05_25_38_675_688282
400,S05_25_38_6_712611
401,S05_25_38_964_1124065
402,S05_25_3_126_718592
403,S05_25_3_36_718443
404,S05_25_3_397_718835
405,S05_25_3_61_718424
406,S05_25_3_641_719049
407,S05_25_3_66_718487
408,S05_25_3_684_633624
409,S05_25_4_348_663582
410,S05_25_4_609_663173
411,S05_25_5_177_637223
412,S05_25_5_272_746178
413,S05_25_5_354_746010
414,S05_25_5_59_662932
415,S05_25_5_690_633712
416,S05_25_5_738_744654
417,S05_25_5_861_744273
418,S05_25_5_895_633233
419,S05_25_6_1147_719565
420,S05_25_6_508_747983
421,S05_25_6_606_748149
422,S05_25_6_868_632212
423,S05_25_7_207_719991
424,S05_25_7_241_720056
425,S05_25_7_283_720110
426,S05_25_7_2_719774
427,S05_25_7_420_744311
428,S05_25_7_514_631857
429,S05_25_7_592_664223
430,S05_25_7_609_743818
431,S05_25_7_696_743608
432,S05_25_7_723_633725
433,S05_25_7_804_664179
434,S05_25_7_83_719707
435,S05_25_7_882_664012
436,S05_25_7_950_663896
437,S05_25_7_951_663895
438,S05_25_7_997_664427
439,S05_25_8_181_633431
440,S05_25_8_330_663559
441,S05_25_8_463_663354
442,S05_25_8_504_663272
443,S05_25_8_61_664547
444,S05_25_8_651_637462
445,S05_25_8_74_664524
446,S05_25_8_752_662755
447,S05_25_9_120_637286
448,S05_25_9_237_637103
449,S05_25_9_452_636715
450,S05_25_9_453_636679
451,S05_25_9_486_662865
452,S05_25_9_566_662501
453,S05_25_9_635_662440
454,S05_25_9_865_662011
455,S05_25_9_937_661699
